District/School IRN,District/School Name,School Year,Org Type,Core Curriculum/Intervention,Reported Grades,Status,Reported Material Type,DEW Approved Material Type,DEW Approved Grades
015234,Zenith Academy West,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
012009,Zenith Academy East,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
000725,Zenith Academy,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
009148,Zanesville Community High School,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
049544,Zane Trace Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 04,Implemented,ELA Core,ELA Core,KG - 05
049544,Zane Trace Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049544,Zane Trace Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",05 - 08,Implemented,ELA Core,ELA Core,KG - 05
049544,Zane Trace Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 08,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
049544,Zane Trace Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
019450,Youngstown Preparatory Academy,2024–2025,Community School,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 06,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
134072,Youngstown Community School,2024–2025,Community School,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
134072,Youngstown Community School,2024–2025,Community School,Blast Foundations (Really Great Reading),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
134072,Youngstown Community School,2024–2025,Community School,Countdown (Really Great Reading),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
134072,Youngstown Community School,2024–2025,Community School,HD Word (Really Great Reading),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
134072,Youngstown Community School,2024–2025,Community School,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045161,Youngstown City,2024–2025,Public District,Blast Foundations (Really Great Reading),01 - 01,Implemented,ELA Core,Both ELA Core and Reading Intervention,01 - 01
045161,Youngstown City,2024–2025,Public District,Countdown (Really Great Reading),KG - KG,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - KG
045161,Youngstown City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
045161,Youngstown City,2024–2025,Public District,HD Word (Really Great Reading),02 - 04,Implemented,ELA Core,Both ELA Core and Reading Intervention,02 - 02
045161,Youngstown City,2024–2025,Public District,Locally created instruction,02 - 05,Implemented,Reading Intervention,N/A,N/A
045161,Youngstown City,2024–2025,Public District,Other published instr materials incl on Dept approved list,02 - 05,Implemented,Reading Intervention,N/A,N/A
045161,Youngstown City,2024–2025,Public District,Other published instr materials not on Dept list,KG - KG,Implemented,Reading Intervention,N/A,N/A
007984,Youngstown Academy Of Excellence,2024–2025,Community School,Blast Foundations (Really Great Reading),01 - 01,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
007984,Youngstown Academy Of Excellence,2024–2025,Community School,Countdown (Really Great Reading),KG - KG,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
007984,Youngstown Academy Of Excellence,2024–2025,Community School,"From Phonics to Reading (William H. Sadlier, Inc)",KG - 03,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
007984,Youngstown Academy Of Excellence,2024–2025,Community School,HD Word (Really Great Reading),02 - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
007984,Youngstown Academy Of Excellence,2024–2025,Community School,Wit & Wisdom (Great Minds),KG - 08,Implemented,ELA Core,ELA Core,03 - 05
045674,Yellow Springs Exempted Village,2024–2025,Public District,Amplify CKLA K-2 Skills (Amplify),KG - 02,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
045674,Yellow Springs Exempted Village,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045674,Yellow Springs Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,03 - 05,Implemented,ELA Core,N/A,N/A
045674,Yellow Springs Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Reading Intervention,N/A,N/A
045674,Yellow Springs Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
045674,Yellow Springs Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,06 - 12,Implemented,ELA Core,N/A,N/A
132985,Yb Columbus Community School,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
045153,Xenia Community City,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045153,Xenia Community City,2024–2025,Public District,Fundations (Wilson Language Training),PS - PS,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045153,Xenia Community City,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),06 - 12,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
045153,Xenia Community City,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
045153,Xenia Community City,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),04 - 05,Implemented,Reading Intervention,ELA Core,KG - 05
045146,Wyoming City,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),PS - PS,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
046524,Wynford Local,2024–2025,Public District,Fundations (Wilson Language Training),PS - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
046524,Wynford Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,03 - 05
045138,Worthington City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
045120,Wooster City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
045120,Wooster City,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
049973,Woodridge Local,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
049973,Woodridge Local,2024–2025,Public District,Foundations A-Z (Learning A-Z),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
