School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
Campbell-Tintah Public Schools		852	27.5	48.3	<1000								
HIBBING PUBLIC SCHOOL DISTRICT	N	701	23	48	1000-2999					Star	FastBridge		
PILLAGER PUBLIC SCHOOL DISTRICT	N	116	20.6	47.6	1000-2999								
SWANVILLE PUBLIC SCHOOL DISTRICT	N	486	14.3	43	<1000								
TRUMAN PUBLIC SCHOOL DISTRICT	N	458	25.6	66.3	<1000								
DAVINCI ACADEMY	Y	4185	14.3	32.6	<1000								
AITKIN PUBLIC SCHOOL DISTRICT	N	1	17.9	51	1000-2999								
BYRON PUBLIC SCHOOL DISTRICT	N	531	11.2	15.4	1000-2999								
SOUTH KOOCHICHING SCHOOL DISTRICT	N	363	23.4	58.9	<1000					Star			
CLOQUET PUBLIC SCHOOL DISTRICT	N	94	23.4	48.1	1000-2999								
WATERVILLE-ELYSIAN-MORRISTOWN	N	2143	17.3	38.5	<1000								
Dassel-Cokato Public Schools	N	466	13.6	32.9	1000-2999								
Clarkfield Area Charter School	Y	4172											
PARKERS PRAIRIE PUBLIC SCHOOL DIST.	N	547	20.9	33.1	<1000								
Cross River Charter School													
LANCASTER PUBLIC SCHOOL DISTRICT	N	356	26.5	53.6	<1000								
LANCASTER PUBLIC SCHOOL DISTRICT	N	356	26.5	53.6	<1000								
BRANDON-EVANSVILLE PUBLIC SCHOOLS	N	2908	21.3	38.3	<1000								
INVER GROVE HEIGHTS SCHOOLS	N	199	15.5	53.7	3000-3999								
NEW ULM PUBLIC SCHOOL DISTRICT	N	88	19.2	35.9	1000-2999								
BATTLE LAKE PUBLIC SCHOOL DISTRICT	N	542	15.5	40.4	<1000								
OGILVIE PUBLIC SCHOOL DISTRICT	N	333	27.2	49.8	<1000								
International Spanish Language Acad	Y	4167	7.1	16.4	<1000								
LAFAYETTE PUBLIC CHARTER SCHOOL													
COMMUNITY SCHOOL OF EXCELLENCE	Y	4181	7.6	89.2	1000-2999								
ST. CLAIR PUBLIC SCHOOL DISTRICT	N	75	13.9	26.6	<1000								
BLOOMING PRAIRIE PUBLIC SCHOOL DIST	N	756	17.2	39.9	<1000								
BRAHAM PUBLIC SCHOOL DISTRICT	N	314	21.5	50.8	<1000		39.50%	Journey's	PRESS, Write-In Reader, Reading Tool Kit, Pearson SRA, Reapeted Reading, Reading A-Z, Read Naturally	FastBridge		FAST earlyReading, aReading, CBMR	Information Not Available
BRECKENRIDGE PUBLIC SCHOOL DISTRICT	N	846	23.8	48.1	<1000								
East Grand Forks Public Schools	N	595	21.5	38.1	1000-2999								
FOSSTON PUBLIC SCHOOL DISTRICT	N	601	17.9	54.6	<1000								
